ts,symbol,net24,net7,net30,fee24,closed,wins,profit_factor,avg_pnl,last_trade_side,last_trade_time,last_trade_price,last_trade_qty
2026-03-11 00:47:53,ETHUSDT,-0.61136261,-1.55154404,-1.39495982,0.38646661,17,7,0.54841781,-0.02413917,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 00:53:16,BNBUSDT,-0.28657901,-0.24296352,-0.24296352,0.40961901,24,9,0.85935095,-0.00237407,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 00:53:16,ETHUSDT,-0.61146522,-1.55226215,-1.39573664,0.38656922,17,7,0.54837804,-0.02414207,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 00:58:44,BNBUSDT,-0.28627841,-0.24228160,-0.24228160,0.40931841,24,9,0.85965413,-0.00236857,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 00:58:44,ETHUSDT,-0.61118153,-1.55121482,-1.39466159,0.38628553,17,7,0.54848801,-0.02413406,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 01:04:09,BNBUSDT,-0.28590745,-0.24144009,-0.24144009,0.40894745,24,9,0.86002840,-0.00236177,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 01:04:09,ETHUSDT,-0.61083145,-1.55013615,-1.39357940,0.38593545,17,7,0.54862375,-0.02412418,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 01:09:37,BNBUSDT,-0.28596501,-0.24157067,-0.24157067,0.40900501,24,9,0.85997031,-0.00236283,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 01:09:37,ETHUSDT,-0.61088577,-1.55021192,-1.39364257,0.38598977,17,7,0.54860268,-0.02412571,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 01:15:07,BNBUSDT,-0.28677089,-0.24339879,-0.24339879,0.40981088,24,9,0.85915748,-0.00237758,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 01:15:07,ETHUSDT,-0.61164629,-1.55333592,-1.39688627,0.38675029,17,7,0.54830785,-0.02414718,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 01:20:33,BNBUSDT,-0.28706509,-0.24406620,-0.24406620,0.41010509,24,9,0.85886091,-0.00238297,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 01:20:33,ETHUSDT,-0.61192394,-1.55441599,-1.39800137,0.38702794,17,7,0.54820025,-0.02415502,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 01:25:59,BNBUSDT,-0.28783259,-0.24580726,-0.24580726,0.41087259,24,9,0.85808768,-0.00239703,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 01:25:59,ETHUSDT,-0.61264825,-1.55730101,-1.40098744,0.38775225,17,7,0.54791963,-0.02417546,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 01:31:22,BNBUSDT,-0.23183354,-0.18904123,-0.18904123,0.42705354,25,10,0.99724497,-0.00004469,VENTA,2026-03-11 01:30:29,643.41,0.032
2026-03-11 01:31:22,ETHUSDT,-0.56416399,-1.51154952,-1.37752326,0.40417499,18,8,0.60173529,-0.02011876,VENTA,2026-03-11 01:26:32,2033.15,0.0103
2026-03-11 01:36:46,BNBUSDT,-0.23184682,-0.18907073,-0.18907073,0.42706682,25,10,0.99722994,-0.00004494,VENTA,2026-03-11 01:30:29,643.41,0.032
2026-03-11 01:36:46,ETHUSDT,-0.56417655,-1.51160216,-1.37757817,0.40418755,18,8,0.60172987,-0.02011911,VENTA,2026-03-11 01:26:32,2033.15,0.0103
2026-03-11 01:42:11,BNBUSDT,-0.23160129,-0.18852502,-0.18852502,0.42682129,25,10,0.99750796,-0.00004042,VENTA,2026-03-11 01:30:29,643.41,0.032
2026-03-11 01:42:11,ETHUSDT,-0.56394418,-1.51083289,-1.37679630,0.40395518,18,8,0.60183005,-0.02011265,VENTA,2026-03-11 01:26:32,2033.15,0.0103
2026-03-11 01:47:34,BNBUSDT,-0.23145530,-0.18820054,-0.18820054,0.42667530,25,10,0.99767330,-0.00003774,VENTA,2026-03-11 01:30:29,643.41,0.032
2026-03-11 01:47:34,ETHUSDT,-0.56380601,-1.51019239,-1.37612202,0.40381701,18,8,0.60188961,-0.02010881,VENTA,2026-03-11 01:26:32,2033.15,0.0103
2026-03-11 01:53:01,BNBUSDT,-0.23248385,-0.19048662,-0.19048662,0.42770385,25,10,0.99650893,-0.00005665,VENTA,2026-03-11 01:30:29,643.41,0.032
2026-03-11 01:53:01,ETHUSDT,-0.56477946,-1.51411485,-1.38019771,0.40479046,18,8,0.60147003,-0.02013586,VENTA,2026-03-11 01:26:32,2033.15,0.0103
2026-03-11 01:58:27,BNBUSDT,-0.22371756,-0.19033913,-0.19033913,0.41893756,24,10,1.01842516,0.00030476,VENTA,2026-03-11 01:30:29,643.41,0.032
2026-03-11 01:58:27,ETHUSDT,-0.55535938,-1.51365674,-1.37970028,0.39537038,17,8,0.60775027,-0.02076805,VENTA,2026-03-11 01:26:32,2033.15,0.0103
2026-03-11 02:03:52,BNBUSDT,-0.22372406,-0.19035388,-0.19035388,0.41894406,24,10,1.01841776,0.00030464,VENTA,2026-03-11 01:30:29,643.41,0.032
2026-03-11 02:03:52,ETHUSDT,-0.55536552,-1.51378578,-1.37984520,0.39537652,17,8,0.60774762,-0.02076822,VENTA,2026-03-11 01:26:32,2033.15,0.0103
2026-03-11 02:09:16,BNBUSDT,-0.22316499,-0.18908548,-0.18908548,0.41838499,24,10,1.01905470,0.00031508,VENTA,2026-03-11 01:30:29,643.41,0.032
2026-03-11 02:09:16,ETHUSDT,-0.55483790,-1.51180145,-1.37780341,0.39484890,17,8,0.60797540,-0.02075307,VENTA,2026-03-11 01:26:32,2033.15,0.0103
2026-03-11 02:14:41,BNBUSDT,-0.22307398,-0.18887899,-0.18887899,0.41829398,24,10,1.01915842,0.00031679,VENTA,2026-03-11 01:30:29,643.41,0.032
2026-03-11 02:14:41,ETHUSDT,-0.55475201,-1.51154711,-1.37754957,0.39476301,17,8,0.60801249,-0.02075060,VENTA,2026-03-11 01:26:32,2033.15,0.0103
2026-03-11 02:20:08,BNBUSDT,-0.23821344,-0.20364729,-0.20364729,0.43343344,24,10,1.01949187,0.00032225,COMPRA,2026-03-11 02:20:06,643.0,0.032
2026-03-11 02:20:08,ETHUSDT,-0.55447593,-1.51037587,-1.37632919,0.39448693,17,8,0.60813171,-0.02074267,VENTA,2026-03-11 01:26:32,2033.15,0.0103
2026-03-11 02:25:34,BNBUSDT,-0.23830107,-0.20384215,-0.20384215,0.43352107,24,10,1.01939553,0.00032067,COMPRA,2026-03-11 02:20:06,643.0,0.032
2026-03-11 02:25:34,ETHUSDT,-0.57026092,-1.52599217,-1.39189837,0.41027192,17,8,0.60809727,-0.02074496,COMPRA,2026-03-11 02:25:08,2033.07,0.0103
2026-03-11 02:30:58,BNBUSDT,-0.23780225,-0.20273297,-0.20273297,0.43302225,24,10,1.01994404,0.00032966,COMPRA,2026-03-11 02:20:06,643.0,0.032
2026-03-11 02:30:58,ETHUSDT,-0.56978885,-1.52416337,-1.39000531,0.40979985,17,8,0.60829335,-0.02073192,COMPRA,2026-03-11 02:25:08,2033.07,0.0103
2026-03-11 02:36:21,BNBUSDT,-0.23724276,-0.20148889,-0.20148889,0.43246276,24,10,1.02055956,0.00033975,COMPRA,2026-03-11 02:20:06,643.0,0.032
2026-03-11 02:36:21,ETHUSDT,-0.56925937,-1.52192428,-1.38766719,0.40927037,17,8,0.60851335,-0.02071729,COMPRA,2026-03-11 02:25:08,2033.07,0.0103
2026-03-11 02:41:44,BNBUSDT,-0.32153787,-0.27208284,-0.27208284,0.46191787,25,10,0.86821292,-0.00245934,COMPRA,2026-03-11 02:40:07,640.25,0.032
2026-03-11 02:41:44,ETHUSDT,-0.68821328,-1.59195399,-1.43001565,0.42990528,18,7,0.51963231,-0.02586505,COMPRA,2026-03-11 02:37:18,2024.58,0.0026
2026-03-11 02:47:14,BNBUSDT,-0.35162147,-0.27138676,-0.27138676,0.45392147,25,9,0.79031201,-0.00397686,COMPRA,2026-03-11 02:40:07,640.25,0.032
2026-03-11 02:47:14,ETHUSDT,-0.88329266,-1.89093886,-1.64921135,0.46041666,21,7,0.43834748,-0.03073181,COMPRA,2026-03-11 02:42:38,2014.6,0.0102
2026-03-11 02:52:43,BNBUSDT,-0.35184868,-0.27188175,-0.27188175,0.45414868,25,9,0.79012217,-0.00398090,COMPRA,2026-03-11 02:40:07,640.25,0.032
2026-03-11 02:52:43,ETHUSDT,-0.88352312,-1.89150925,-1.64977124,0.46064712,21,7,0.43828483,-0.03073712,COMPRA,2026-03-11 02:42:38,2014.6,0.0102
2026-03-11 02:58:09,BNBUSDT,-0.35190549,-0.27200550,-0.27200550,0.45420549,25,9,0.79007472,-0.00398191,COMPRA,2026-03-11 02:40:07,640.25,0.032
2026-03-11 02:58:09,ETHUSDT,-0.88358074,-1.89161532,-1.64986803,0.46070474,21,7,0.43826916,-0.03073844,COMPRA,2026-03-11 02:42:38,2014.6,0.0102
2026-03-11 03:03:34,BNBUSDT,-0.35118835,-0.27044318,-0.27044318,0.45348835,25,9,0.79067399,-0.00396916,COMPRA,2026-03-11 02:40:07,640.25,0.032
2026-03-11 03:03:34,ETHUSDT,-0.88285334,-1.88940335,-1.64761434,0.45997734,21,7,0.43846693,-0.03072170,COMPRA,2026-03-11 02:42:38,2014.6,0.0102
2026-03-11 03:08:59,BNBUSDT,-0.35154337,-0.27121660,-0.27121660,0.45384337,25,9,0.79037727,-0.00397547,COMPRA,2026-03-11 02:40:07,640.25,0.032
2026-03-11 03:08:59,ETHUSDT,-0.88321344,-1.89055304,-1.64879463,0.46033744,21,7,0.43836902,-0.03072999,COMPRA,2026-03-11 02:42:38,2014.6,0.0102
2026-03-11 03:14:23,BNBUSDT,-0.35183448,-0.27185081,-0.27185081,0.45413448,25,9,0.79013404,-0.00398065,COMPRA,2026-03-11 02:40:07,640.25,0.032
2026-03-11 03:14:23,ETHUSDT,-0.88350872,-1.89165348,-1.64994884,0.46063272,21,7,0.43828874,-0.03073679,COMPRA,2026-03-11 02:42:38,2014.6,0.0102
2026-03-11 03:19:47,BNBUSDT,-0.35211140,-0.27245408,-0.27245408,0.45441140,25,9,0.78990273,-0.00398557,COMPRA,2026-03-11 02:40:07,640.25,0.032
2026-03-11 03:19:47,ETHUSDT,-0.88378960,-1.89234939,-1.65063207,0.46091360,21,7,0.43821239,-0.03074325,COMPRA,2026-03-11 02:42:38,2014.6,0.0102
2026-03-11 03:25:13,BNBUSDT,-0.35291374,-0.27420202,-0.27420202,0.45521374,25,9,0.78923288,-0.00399983,COMPRA,2026-03-11 02:40:07,640.25,0.032
2026-03-11 03:25:13,ETHUSDT,-0.88460342,-1.89492265,-1.65326991,0.46172742,21,7,0.43799124,-0.03076198,COMPRA,2026-03-11 02:42:38,2014.6,0.0102
2026-03-11 03:30:39,BNBUSDT,-0.35303445,-0.27446499,-0.27446499,0.45533445,25,9,0.78913215,-0.00400198,COMPRA,2026-03-11 02:40:07,640.25,0.032
2026-03-11 03:30:39,ETHUSDT,-0.88472586,-1.89537358,-1.65374217,0.46184986,21,7,0.43795798,-0.03076479,COMPRA,2026-03-11 02:42:38,2014.6,0.0102
2026-03-11 03:36:06,BNBUSDT,-0.35401431,-0.27659964,-0.27659964,0.45631431,25,9,0.78831491,-0.00401940,COMPRA,2026-03-11 02:40:07,640.25,0.032
2026-03-11 03:36:06,ETHUSDT,-0.91107237,-1.92586777,-1.73697077,0.50430637,22,7,0.43597609,-0.02959345,COMPRA,2026-03-11 03:31:31,2022.79,0.0039
2026-03-11 03:41:34,BNBUSDT,-0.39490173,-0.33166238,-0.33166238,0.47694173,26,9,0.72584106,-0.00543603,VENTA,2026-03-11 03:36:17,642.61,0.032
2026-03-11 03:41:34,ETHUSDT,-0.91112637,-1.92585523,-1.73692579,0.50436037,22,7,0.43595858,-0.02959487,COMPRA,2026-03-11 03:31:31,2022.79,0.0039
2026-03-11 03:47:01,BNBUSDT,-0.39444730,-0.33067239,-0.33067239,0.47648730,26,9,0.72617728,-0.00542827,VENTA,2026-03-11 03:36:17,642.61,0.032
2026-03-11 03:47:01,ETHUSDT,-0.91064278,-1.92420248,-1.73520506,0.50387678,22,7,0.43608305,-0.02958475,COMPRA,2026-03-11 03:31:31,2022.79,0.0039
